name,address,state,activity_type,installed_capacity_mta,status,source
Green Waves Environmental Solution,"Sy. No. 43/1, Mindi (V), Gajuwaka (M), Visakhapatnam District",Andhra Pradesh,E-waste recycler/dismantler,480,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Apna Bhoomi E-Waste Management Services,"Sy. No. 119, Near Bharat Junction, Kusalapuram (V), Etcherla (M), Srikakulam District - 532005",Andhra Pradesh,E-waste recycler/dismantler,300,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Veera Waste Management Systems,"Plot No. 42, Block-D Extension, IDA, Autonagar Visakhapatnam District - 530012",Andhra Pradesh,E-waste recycler/dismantler,5820,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Binbag Recycling Services Pvt. Ltd,Anantapur District,Andhra Pradesh,E-waste recycler/dismantler,300,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Clean Earth Green Earth Solutions,Krishna District,Andhra Pradesh,E-waste recycler/dismantler,22.5,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
E-Parisaraa Pvt. Ltd,"Plot No. 42A/4, Sy. No. 285 Part And Sy. No. 288 (P), Gollapuam (V), Hindupuram (M), Anantapuramu District",Andhra Pradesh,E-waste recycler/dismantler,300,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
World Scrap Recycling Solutions (P) Ltd,"Plot No 50, Chittor District",Andhra Pradesh,E-waste recycler/dismantler,6900,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
World Scrap Recycling Solutions Pvt Ltd,"Shed No 10 11 12, Chittor District",Andhra Pradesh,E-waste recycler/dismantler,18000,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Sungeel India Recycling Pvt. Ltd.,"Plot No. 59C & 59D, APIIC Industrial Park, Gollapuram (V), Hindupur (M), Anantapur District - 515211",Andhra Pradesh,E-waste recycler/dismantler,10380,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Ramky ARM Recycling Pvt. Ltd.,"Plot No. 84/A & B, Road No. 20/5, JNPC, Parawada, Visakhapatnam District - 531019",Andhra Pradesh,E-waste recycler/dismantler,1500,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
United Global Trust,"F-5, Zoo Road, Senduri Ali Path, Guwahati, Dist. Kamrup (M), Assam",Assam,E-waste recycler/dismantler,120,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
ADV Metal Combine Pvt. Ltd.,"Shed No. 25, Borai Industrial Growth Center, Rasmada, Dist. Durg (C.G)",Chhattisgarh,E-waste recycler/dismantler,750,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Star E-Processors,"Village-Baktara, P.O. Godi, Tehsil-Arung, District-Raipur, Chhattisgarh",Chhattisgarh,E-waste recycler/dismantler,6000,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Fozia Traders,"Khasra No.13/1, Saboli Mandoli Industrial Area, Delhi-110093",Delhi,E-waste recycler/dismantler,90,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Muskan Technologies,"B-96, Okhla Industrial Area, Phase-1, Delhi-110020",Delhi,E-waste recycler/dismantler,600,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Shivnath Computers,"E-47/2, 1st Floor, Okhla Phase-2, Delhi-110019",Delhi,E-waste recycler/dismantler,450,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Techchef E-Waste Solutions Private Limited,"C-61, Top Floor, DDA Shed Okhla Industrial Area, Delhi-110020",Delhi,E-waste recycler/dismantler,99,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Greenscape Eco Management Private Ltd.,"348, Patparganj Industrial Area, Delhi-110020",Delhi,E-waste recycler/dismantler,450,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Shree Raman E-Waste,"Plot No. 7, Khasra No. 487, Peeragarhi Industrial Area, Peeragarhi Village, Delhi -110087",Delhi,E-waste recycler/dismantler,300,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
E-coli Waste Management P. Ltd,"Plot No. 90 TO 92 Sabar Industrial Park Pvt. Ltd, Vill-Asal, Ta-Bhiloda, Dist-Sabar kantha",Gujarat,E-waste recycler/dismantler,7227,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Mangalam ECS Environment Ltd,"ECS House, 11-12 Garden View, Opp. Auda Garden, Sindhu Bhawan road, Off SG Highway-Pakwan Circle, Bodakdev, Ahmedabad 380054",Gujarat,E-waste recycler/dismantler,4999.92,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Pruthavi E-Recycle Pvt. Ltd.,Plot No. 31/32 Golden Industries Area Near Rolex Industries Vill-Kothariya Rajkot -360002,Gujarat,E-waste recycler/dismantler,3000,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
E-Process House,"Plot No. 136/F-1, 2nd Phase, GIDC, Dist Valsad VAPI 396195",Gujarat,E-waste recycler/dismantler,277,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Earth E-Waste Management Pvt. Ltd.,"Block No. 63, Sagun Ind. Estate, Type-A Paiky 11-A, Plot No. 1 to 5 & 10-D, Plot No. 1 to 5, Vill-Altodara, Tal. Opad, Dist. Surat - 394130",Gujarat,E-waste recycler/dismantler,6000,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Recotech E-Waste Management,"Plot No. 36-37, Aashirwad Industrial Estate, Udhana-Sachin Road, GIDC Naka, Sachine, Surat",Gujarat,E-waste recycler/dismantler,307,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
