id,name,facility_location,latitude,longitude,materials_accepted,authorization_status,authorization_details,contact_details,pickup_availability,service_area,created_at
1,Trishyirya Recycling India Pvt. Ltd.,"4th Phase, Peenya Industrial Estate, Bengaluru",13.0284,77.5199,"PCB,Cable,Motor/Magnet Assembly",authorized,Illustrative demo data -- real registration ID not independently verified,[demo placeholder -- not verified],[demo placeholder],[demo placeholder],Sat Sep 05 2026 17:41:05 GMT+0530 (India Standard Time)
2,E-R3 Solutions Pvt. Ltd.,"1st Cross, 1st Stage, Peenya Industrial Area, Bengaluru",13.03,77.5175,"PCB,Battery,LCD Panel",authorized,Illustrative demo data -- real registration ID not independently verified,[demo placeholder -- not verified],[demo placeholder],[demo placeholder],Sat Sep 05 2026 17:41:05 GMT+0530 (India Standard Time)
3,Samarthanam Trust for the Disabled (E-Waste Unit),"6th Main, 3rd Phase, Peenya Industrial Area, Bengaluru",13.027,77.522,"Cable,Mixed Plastic,CRT",authorized,Illustrative demo data -- real registration ID not independently verified,[demo placeholder -- not verified],[demo placeholder],[demo placeholder],Sat Sep 05 2026 17:41:05 GMT+0530 (India Standard Time)
4,Earth Sense Recycle Pvt. Ltd.,"Jigani 2nd Stage, Jigani Industrial Area, Bengaluru",12.778,77.635,"PCB,Cable,Motor/Magnet Assembly,Battery",authorized,Illustrative demo data -- real registration ID not independently verified,[demo placeholder -- not verified],[demo placeholder],[demo placeholder],Sat Sep 05 2026 17:41:05 GMT+0530 (India Standard Time)
5,Demo Recycler A -- Green Circuit Solutions,"Whitefield, Bengaluru (fictional demo entry)",12.9698,77.75,"PCB,Battery,Mixed Plastic",authorized,Fictional demo entry,[demo placeholder],[demo placeholder],[demo placeholder],Sat Sep 05 2026 17:41:05 GMT+0530 (India Standard Time)
6,Demo Recycler B -- Bengaluru Metal Recovery,"Electronic City, Bengaluru (fictional demo entry)",12.8452,77.6602,"Cable,Motor/Magnet Assembly,LCD Panel",authorized,Fictional demo entry,[demo placeholder],[demo placeholder],[demo placeholder],Sat Sep 05 2026 17:41:05 GMT+0530 (India Standard Time)
7,Demo Recycler C -- Peenya E-Waste Hub,"Yeshwanthpur, Bengaluru (fictional demo entry)",13.0284,77.554,"PCB,CRT,Cable",pending,"Fictional demo entry, application status illustrative",[demo placeholder],[demo placeholder],[demo placeholder],Sat Sep 05 2026 17:41:05 GMT+0530 (India Standard Time)
8,Demo Recycler D -- Hebbal Circular Recyclers,"Hebbal, Bengaluru (fictional demo entry)",13.0358,77.597,"Cable,Mixed Plastic,CRT",authorized,Fictional demo entry,[demo placeholder],[demo placeholder],[demo placeholder],Sat Sep 05 2026 17:41:05 GMT+0530 (India Standard Time)
9,Local Scrap Point (fictional demo entry),"Koramangala, Bengaluru",12.9352,77.6245,"CRT,LCD Panel,Mixed Plastic",unauthorized,,[demo placeholder],[demo placeholder],[demo placeholder],Sat Sep 05 2026 17:41:05 GMT+0530 (India Standard Time)
10,Quick Kabadi Aggregator (fictional demo entry),"Marathahalli, Bengaluru",12.9591,77.6974,"PCB,CRT,Mixed Plastic",unauthorized,,[demo placeholder],[demo placeholder],[demo placeholder],Sat Sep 05 2026 17:41:05 GMT+0530 (India Standard Time)
