name,address,state,activity_type,installed_capacity_mta,status,source
"Trishyirya Recycling India Pvt. Ltd.","No.315, 4th Phase, Peenya Industrial Estate, Bangalore - 560 058",Karnataka,E-waste recycler,360,Working,CPCB-affiliated state list
"E-R3 Solutions Pvt. Ltd.","No.C-430, 1st Cross, 1st Stage Peenya Industrial Area, Bangalore - 560 058",Karnataka,E-waste recycler,,Working,CPCB-affiliated state list
"E-Parisaraa Pvt Ltd","No 30-P3 Dabaspet, Bangalore",Karnataka,E-waste recycler,9288,Working,CPCB-affiliated state list
"Samarthanam Trust for the Disabled","No. 66, 6th main, 3rd Phase, Peenya Industrial Area, Bangalore - 560 058",Karnataka,E-waste recycler,,Working,CPCB-affiliated state list
"Earth Sense Recycle Pvt Ltd","Industrial plot no Spl.14, Jigani 2nd stage, Jigani village and hobli, Bangalore-560105",Karnataka,E-waste recycler,,YTC,CPCB-affiliated state list
"Ramky E-waste Recycling Facility","Karnataka Waste Management Project, Dobaspet, Nelamangala",Karnataka,E-waste recycler,,YTC,CPCB-affiliated state list
"Cerebra Integrated Technologies Ltd","Plot No. 41 to 46, Appasandra Village, KIADB Indl. Area, Narasapura Hobli, Kolar Taluk and District",Karnataka,E-waste recycler,39000,Working,CPCB-affiliated state list
"K. G. Nandini Enterprises","No.46/4, 46/5, Billakempanahalli Village, Bidadi Hobli, Ramanagaram District",Karnataka,E-waste recycler,7200,Working,CPCB-affiliated state list
"Coral Communication and Networks Pvt Ltd","No 52, Hoskote Industrial Area, Bangalore Rural District",Karnataka,E-waste recycler,8916,Working,CPCB-affiliated state list
"Attero Recycling Pvt. Ltd.","Plot NO. 143, B5 and B6, Bommanagalli Indl. Area",Karnataka,E-waste recycler,,YTC,CPCB-affiliated state list
"TES-AMM India Pvt Ltd","No A-365, 6th cross, I stage, Peenya Industrial Estate, Bengaluru 560058",Karnataka,E-waste dismantler,,Working,CPCB-affiliated state list
